	hydroxyurea_r	hydroxyurea_k	NaCl_r	NaCl_k	allantoin_r	allantoin_k	caffeine_r	caffeine_k	galactose_r	galactose_k	glycine_r	glycine_k	isoleucine_r	isoleucine_k	phleomycin_r	phleomycin_k	rapamycin_r	rapamycin_k
201-1	0.096444573	4688733.692	0.077409246	2487578.899	0.12052509	3407620.716	0.085267898	2679731.493	0.087592194	4921470.673	0.102774416	2596245.83	0.091328597	2330302.222	0.098166887	8079496.288	0.088720474	3179576.552
201-10	0.110284262	3233684.197	0.074432868	2388166.193	0.132749964	2206169.618	0.08099425	2008142.889	0.086033761	3818106.544	0.110486458	2444225.537	0.102050171	2211035.297	0.090573234	5021082.991	0.091872162	2535473.878
201-11	0.096115811	4454163.009	0.075807551	2858033.974	0.125965431	2857390.355	0.088191445	2870794.425	0.085997033	3860677.36	0.106631343	2785161.052	0.095212654	2177667.173	0.092179345	5844906.55	0.092065705	3315561.676
201-120	0.113042438	2018279.188	0.07805493	1328536.531	0.123715606	1352502.315	0.08635569	1476309.593	0.110500656	4904964.859	0.139035412	1305898.244	0.11453022	1209105.506	0.102005812	4230609.265	0.091563477	1635999.114
201-121	0.102694304	5699330.136	0.07684797	3012220.252	0.101087432	3736089.093	0.080488696	1734511.354	0.092219503	6350352.392	0.104466929	2711427.558	0.097211673	2828842.157	0.099069485	7546600.579	0.088752826	3094888.87
201-122	0.109419203	3926096.196	0.077113686	2910251.351	0.106796097	3111962.66	0.093603943	2406487.274	0.085166887	4059578.467	0.10954382	2336135.083	0.099598809	2280773.429	0.09625729	6628938.632	0.090731618	3436713.798
201-123	0.099201169	3777620.244	0.074053602	1893017.494	0.105138502	3229365.201	0.072382048	1787650.726	0.095275895	5044645.654	0.109035027	2755390.851	0.099743341	2375456.174	0.095906632	6422011.312	0.08461124	2508068.119
201-124	0.100296481	3406114.979	0.084907809	2488961.719	0.11745071	1931745.755	0.089718585	2106130.096	0.108222271	7050723.542	0.117931043	1834719.897	0.109802055	1637150.066	0.09810563	4781794.23	0.09843053	2776934.321
201-126	0.100087439	3561480.124	0.079986623	1831094.358	0.107950091	2692121.141	0.090742319	2112338.989	0.096878271	6085652.102	0.112301817	2422413.753	0.098359901	1735059.916	0.092469977	7295874.8	0.092305717	2195466.123
201-127	0.104854913	4066555.914	0.072446228	2052655.537	0.108007963	3098868.602	0.07032054	2109610.649	0.10972161	8466408.924	0.109250243	2735346.883	0.099808824	2351422.88	0.092468161	5810026.61	0.085949796	2476222.811
201-128	0.110248989	3487223.043	0.077371551	1779193.144	0.112326061	2336293.103	0.075227694	1475384.269	0.08809078	2911436.207	0.114274921	1884052.46	0.104781746	1992649.524	0.096632804	4849743.712	0.09348577	2258580.057
201-129	0.110510921	2757037.444	0.088314377	2020851.307	0.121846452	1525945.746	0.086224509	1948713.785	0.091681186	2567589.991	0.122473426	1848490.04	0.115036294	1262044.426	0.100949567	4196511.867	0.100503481	2466807.323
201-13	0.110081093	2700906.374	0.072613021	2082887.06	0.134907839	1799583.94	0.085058343	2236311.325	0.088878185	2748345.778	0.117642384	2057628.831	0.105029816	1682642.828	0.110662592	4561973.965	0.091894405	2520917.329
201-130	0.106153285	4841086.462	0.078903624	2505600.007	0.105971575	3148074.631	0.08759977	2311331.962	0.085947054	4224782.491	0.107661318	2350072.131	0.10138453	2481968.856	0.092750795	6659398.652	0.092343434	3407583.935
201-131	0.113286287	3855603.419	0.076060003	2132215.55	0.110456464	2632914.136	0.078942948	2038132.339	0.095647514	2994828.179	0.114573563	2193174.866	0.104975247	1982545.134	0.09843644	5119387.36	0.090670401	2330469.521
201-132	0.102696347	5537738.206	0.074392594	2574729.545	0.106312919	3285453.298	0.082192218	2390872.453	0.086665162	4088704.762	0.108132572	2743437.134	0.09849303	2563413.751	0.10281366	6887194.195	0.088650768	3277866.727
201-133	0.108353072	2969026.666	0.083903591	2394584.641	0.125024169	1997778.619	0.092680849	2212468.801	0.110285685	5917969.003	0.123279684	1750527.039	0.106917802	1230864.089	0.102999105	4463514.505	0.093960853	2041559.549
201-14	0.100732176	6315620.794	0.077474139	3867096.08	0.122295668	3350215.857	0.082220497	2603329.807	0.087634272	5429849.564	0.103388485	3103862.378	0.097813375	2820247.065	0.109922257	9056810.622	0.084300483	3297055.912
201-15	0.100641784	3962107.276	0.081732501	1977197.884	0.127209969	2454087.573	0.080466029	2094028.123	0.083879786	4468009.634	0.111088112	2314340.755	0.103234066	1812319.225	0.102154208	6796382.327	0.09582383	2806122.05
201-16	0.099677472	4426044.331	0.079567215	2030847.143	0.125576228	2594356.488	0.08098677	1862931.176	0.082026257	3845998.89	0.108644014	2311449.296	0.105028708	2561929.525	0.106350636	6978053.199	0.092112007	2898745.732
201-17	0.105983007	3183834.639	0.079712961	1984915.817	0.136643003	2089036.394	0.084262782	1916936.949	0.08940901	2897944.348	0.115507521	1935261.195	0.107568789	2135379.33	0.104025693	4313306.092	0.090721289	2608976.806
201-18	0.099733002	4720923.555	0.078718806	2335236.403	0.120985151	3262709.098	0.083373719	2111846.498	0.086118968	4709032.343	0.10651227	2725305.733	0.098601896	2968744.378	0.092003467	6371650.053	0.087703489	3148292.244
201-19	0.098272968	3878382.776	0.076611859	1239954.615	0.126995049	2298311.754	0.083141064	2153206.456	0.08716957	3553976.369	0.112667379	2060863.592	0.106165949	1837742.383	0.098550799	6182675.061	0.090661926	2535354.696
201-21	0.102041638	3680743.62	0.080558841	1087424.76	0.130504538	1772139.282	0.075333924	1034912.601	0.098290904	7256784.532	0.116768446	1534096.246	0.105228143	1097846.799	0.099878876	4815311.936	0.088351321	1564471.262
201-22	0.107831849	3199035.721	0.073872464	1700096.35	0.140697446	2138898.214	0.086834648	2344751.331	0.115824817	6969550.359	0.117744708	2361118.043	0.111199264	2317109.366	0.104127831	4169746.418	0.088175338	2683193.842
201-24	0.098859635	3830249.14	0.077574487	1094311.043	0.119589391	2847446.21	0.082960481	2195636.861	0.088761458	4977904.184	0.108690372	2433342.552	0.102949336	2263024.556	0.089485347	5984995.83	0.089551412	2716240.03
201-25	0.102183343	2898436.594	0.072650641	1530806.712	0.130561646	2187236.433	0.080130627	1636584.782	0.101393111	8238512.532	0.11498576	2151193.459	0.100000787	1737217.529	0.097042814	4475315.74	0.086258906	2152935.199
201-26	0.094806152	4997839.362	0.081334351	2954953.284	0.125511128	2589090.686	0.084079309	1924418.185	0.086804797	4279833.317	0.109749	2183424.303	0.103649319	2390434.434	0.102729195	7361439.035	0.088610034	2738803.228
201-27	0.103008711	3322722.099	0.076409402	1979097.456	0.139525624	1991722.466	0.086059405	2348014.434	0.104744314	6475652.409	0.117315799	2086172.302	0.108745559	2056104.685	0.106765695	4612385.329	0.092263822	2808606.569
201-28	0.104419927	5765125.931	0.084695909	3581369.412	0.124613264	3090619.31	0.085688568	2123240.881	0.130056669	8924238.992	0.106481595	2737003.368	0.099719798	2656229.054	0.105013201	7612645.138	0.145637916	2057659.663
201-29	0.099871482	4427853.886	0.0849745	3237446.406	0.129706567	2433636.096	0.076114181	1652663.229	0.089663683	3640789.074	0.112726016	2215223.306	0.104233595	2157660.748	0.095975173	5761003.629	0.139452629	1849445.592
201-3	0.098829823	4798853.334	0.079244922	2320438.604	0.1283273	2701137.462	0.088789161	2161046.165	0.090186548	4788954.803	0.107829946	2413287.712	0.098445733	2482955.528	0.097719534	5953589.234	0.09254193	3238956.391
201-30	0.101742901	4131214.584	0.085297522	2316894.952	0.129138522	2394978.267	0.077406583	1726282.337	0.087404563	3462090.513	0.112066689	2190109.4	0.100546767	1898814.886	0.107382557	5921154.223	0.128312666	1557054.516
201-32	0.106811984	2979301.664	0.084483248	2183732.535	0.137328146	1908980.164	0.081458544	1526008.603	0.112077511	6169458.463	0.119570544	1886207.248	0.104913565	1547783.27	0.102503321	4303981.533	0.145087838	1848651.238
201-33	0.100396072	4014263.543	0.075293641	2589284.836	0.122804675	3069804.863	0.074432425	1933714.267	0.074460014	5964709.851	0.103995448	3081034.472	0.098263529	2552495.289	0.093396407	6482407.219	0.132433861	1828360.909
201-34	0.102050255	4403681.912	0.07805833	3014703.79	0.127141723	2880793.028	0.083119681	2171569.131	0.089437944	3959317.119	0.105880993	2934622.706	0.10121969	2588825.277	0.104320389	5993766.433	0.138558895	2466308.866
201-35	0.103173145	3297527.376	0.087400631	2635776.501	0.136242597	2058687.718	0.08752638	1910491.197	0.089076679	2959349.084	0.116626032	1974322.671	0.104488382	1696258.478	0.105161282	4495570.658	0.142329446	1805183.631
201-36	0.116643438	2673848.857	0.081395644	2113579.637	0.140925072	1778305.911	0.088312674	1838229.269	0.087997201	2170531.312	0.122221576	1803081.897	0.113757409	1629437.907	0.107706634	3806834.854	0.137689685	1648140.811
201-37	0.098345144	4893642.466	0.07647304	2888829.553	0.121414571	3080254.496	0.078760504	2159284.961	0.079239329	7485641.786	0.104008085	2959918.822	0.09665935	2600131.357	0.10051029	6337209.301	0.139597353	2318820.059
201-38	0.097794303	2832999.783	0.080868912	1870344.234	0.133650271	1971725.101	0.077753093	1525243.085	0.087843429	2814892.789	0.117588687	1939339.889	0.109048782	1669037.118	0.099826491	4386311.766	0.141917408	1663383.266
201-39	0.09991294	5437646.015	0.085058733	5477397.077	0.12929226	2663754.288	0.087194531	2433719.031	0.088463903	3883634.243	0.108987844	2708938.273	0.100137748	2177855.182	0.105875322	7514916.186	0.140373067	2739410.672
201-4	0.097504181	3035987.985	0.078472502	2851043.609	0.136060804	1726681.394	0.080482374	1827532.324	0.109304979	7313344.448	0.116549278	1803442.456	0.103586447	1642910.683	0.101384709	5091409.134	0.094916973	2760838.04
201-40	0.109017227	2086063.141	0.084039774	1575432.118	0.144334216	1421541.73	0.081250678	1556217.643	0.089898912	2079023.935	0.120888345	1821156.382	0.115375426	1436055.183	0.09942368	3457830.872	0.138555178	1162261.515
201-41	0.099639428	4515316.287	0.082890188	3366349.084	0.120769892	3146739.898	0.079526626	1598750.442	0.088291529	4879621.759	0.103878036	2362649.327	0.103979794	1775860.354	0.105682549	7245320.462	0.126503479	1244299.925
201-42	0.110504106	4245691.936	0.076588	2387143.51	0.124736974	2497184.706	0.087968088	2355548.862	0.092281328	4376663.66	0.108000495	2530196.05	0.104258341	2064948.91	0.097726485	5815201.827	0.137609967	2176768.412
201-43	0.102949993	4580324.956	0.07238824	2897163.92	0.123522309	2883353.727	0.08463969	2080355.658	0.085854923	3680382.76	0.105255266	2931624.719	0.100852696	2550774.398	0.103723032	6873331.797	0.129511109	1806235.947
201-44	0.104320692	2961450.001	0.068363986	2658780.395	0.136373428	2228894.359	0.080134389	2103314.867	0.086583323	3100682.298	0.113050397	2539831.204	0.108186612	2010960.507	0.101229702	5003111.491	0.138381589	2120772.594
201-46	0.104354408	3695297.307	0.072881451	1993035.811	0.122372503	2989453.965	0.081697306	2140126.304	0.088123139	4399962.113	0.105005096	3213631.101	0.099787944	2514546.461	0.098601548	5786269.958	0.127314708	1629362.83
201-5	0.096871171	3925089.345	0.073020723	2129727.658	0.126551816	2585560.766	0.09206504	2277499.982	0.08890804	5580007.483	0.103140373	2808434.208	0.094903298	2674186.991	0.095436757	6156551.31	0.088487552	2636220.144
201-51	0.106103206	3514388.09	0.079631351	1746540.609	0.127225417	2357381.166	0.084337761	1574476.631	0.105782566	8219990.73	0.111963989	1976397.255	0.103754243	1546039.855	0.099634522	5962525.418	0.14504161	1813786.585
201-52	0.109298452	3267142.092	0.082781344	2615231.88	0.138174284	1482518.308	0.094867082	2229671.989	0.083635233	2856556.769	0.116381994	1682138.245	0.116117938	1485614.001	0.103375563	4437628.376	0.138230069	1394449.283
201-53	0.099502374	4614287.418	0.087438317	3031708.774	0.101983302	3418337.383	0.093650668	2578383.55	0.101493177	9022881.546	0.104866845	2605446.569	0.098656742	2770595.142	0.10154814	8146932.554	0.104126019	2551904.302
201-55	0.09907567	4577520.961	0.076687643	2996026.728	0.105550595	3083805.182	0.080350206	2347022.651	0.079694851	5018534.122	0.105893851	2967998.658	0.098779899	2666050.146	0.097587439	6283657.587	0.100389754	2673112.484
201-56	0.110663643	2411380.867	0.076191886	2353937.862	0.113768271	2229109.69	0.086587279	2492062.37	0.0884014	3373006.399	0.113552274	2172227.918	0.102768337	1873351.206	0.100531514	4165203.839	0.105726311	2696220.393
201-57	0.100609526	4332525.747	0.084955675	2197052.65	0.104897651	3160473.875	0.084141929	2379605.736	0.07938921	4348278.162	0.108191583	2720563.643	0.095162762	1996242.078	0.095739177	5439926.506	0.10421558	2709457.919
201-59	0.10351206	3401650.782	0.089560437	2271494.269	0.114649767	1934039.119	0.090349904	2107964.047	0.086781279	2944408.152	0.118841025	1869713.414	0.110009482	1654987.466	0.103218633	4548131.571	0.10986787	2427389.564
201-6	0.10088822	3662896.213	0.073992784	2227138.855	0.128219222	2331419.756	0.079653262	2000234.229	0.067205255	7083198.172	0.10901161	2477285.613	0.100177591	2431728.119	0.087821249	6499303.932	0.090516972	2564906.193
201-60	0.107805115	2699361.163	0.084560476	2196563.542	0.123840747	1631305.303	0.097009095	1920985.366	0.089556715	2653894.368	0.12407337	1525213.189	0.117907683	1334004.021	0.104270206	4142145.875	0.108902936	2414158.158
201-61	0.104196481	5102799.09	0.084708437	3371930.218	0.105022362	3032053.814	0.086521434	2126893.274	0.100044349	9295274.44	0.108930815	2411950.521	0.098563691	2001383.639	0.090658213	7070672.092	0.108144631	3255046.279
201-62	0.102452021	2772013.343	0.082033957	2669941.781	0.114586868	2278215.941	0.083590428	1963925.233	0.087868292	2875698.545	0.115520847	2054408.268	0.107191246	2146683.918	0.099414948	5260425.177	0.10496766	2224405.012
201-63	0.099910013	3996115.873	0.083089147	3229073.288	0.11193908	2383547.979	0.089275339	2289910.696	0.090561631	4139795.098	0.111713494	2229827.071	0.107361019	1974847.545	0.099679732	6863730.498	0.09845761	2188589.601
201-64	0.105977436	2015209.124	0.079492535	1810821.312	0.120502641	1445664.767	0.080954803	1769807.088	0.09144493	2469795.498	0.121934808	1717246.899	0.116691258	1203833.621	0.101171312	4056170.19	0.102390497	1823459.368
201-65	0.096532398	4750163.192	0.073828844	2569829.324	0.10172851	3371454.247	0.076902179	2350431.077	0.085201394	6014493.41	0.102206205	2894011.144	0.10148517	2713357.609	0.104798497	7913806.516	0.098735799	2965014.879
201-66	0.102747675	4536330.018	0.075503926	2493389.051	0.107055496	3144665.148	0.088368753	2424401.63	0.092059129	4904480.648	0.10968212	2558424.374	0.107006842	2498626.204	0.099552257	6408851.028	0.101853734	2538690.99
201-67	0.107328409	4074596.353	0.081024508	2687057.236	0.111938303	2338518.924	0.092737988	2609590.513	0.092175259	3125194.688	0.106820453	2340384.176	0.107145378	1963281.673	0.095543158	6546075.321	0.100439621	2505634.328
201-68	0.102398372	2708013.286	0.077618436	1506723.388	0.117782484	1537149.291	0.085001424	1812647.649	0.091597711	2868139.467	0.113230688	1785996.483	0.116951709	1435316.37	0.098292639	4368288.452	0.101893575	1761022.609
201-69	0.097786946	4794069.319	0.07743343	2630974.061	0.104996206	3147397.568	0.091917661	2261965.422	0.091832804	4365351.541	0.108302984	2288405.955	0.104533583	2089884.187	0.093174279	6082387.413	0.099395057	2572989.197
201-7	0.105212264	3386876.838	0.082380279	3260378.997	0.129824013	1976021.043	0.082796461	1805410.604	0.088158159	3092091.234	0.111528956	1879005.248	0.103102379	1976704.87	0.102021753	5365743.291	0.089433069	2081105.33
201-70	0.103003241	3938500.334	0.089727511	2856196.129	0.110608734	2347093.485	0.087567414	1726117.286	0.0926827	3465177.161	0.112752284	1823646.394	0.110463154	1654371.484	0.104460234	6447904.558	0.112408277	2488364.118
201-71	0.104534087	3853340.633	0.07822536	2480969.662	0.113558167	2353429.62	0.088224801	1952599.968	0.105023697	7501560.78	0.114881205	1888854.86	0.109295151	1801378.389	0.105043271	5888986.546	0.105582201	2843115.267
201-72	0.10766713	3232189.788	0.076943231	2136719.106	0.121858498	1940750.068	0.093161342	2483208.05	0.094153183	2754721.452	0.119331416	2094017.303	0.116441492	1820727.905	0.108581957	4415015.678	0.098800518	2032140.171
201-73	0.101876361	4347059.173	0.073757964	1984144.558	0.106794483	3245488.506	0.087845148	2281881.295	0.111087639	8858206.274	0.109025929	2768910.048	0.100545685	2018146.9	0.097878125	6543669.828	0.097397203	2168273.909
201-74	0.101952192	3209379.254	0.074083907	2334853.353	0.110942637	2575920.218	0.08358506	2364245.329	0.106993225	8393036.792	0.110583729	2659010.835	0.107669365	2204171.78	0.103919965	5574349.168	0.100438738	2640699.13
201-75	0.099415671	5306170.264	0.078842295	2141682.018	0.107983054	2553582.107	0.090291851	2253018.427	0.094699747	3839081.737	0.111424026	2303747.441	0.107546448	2021746.148	0.100144583	6938065.716	0.106720769	2909767.25
201-77	0.108477903	5574035.441	0.075709645	3293008.527	0.103847202	3927628.8	0.082506895	2658550.88	0.106852638	9705156.414	0.110910225	3071954.265	0.090692894	2756076.682	0.097524119	7486288.95	0.083477656	3485647.602
201-78	0.110093545	3590584.643	0.080149498	2423814.2	0.109722035	2700114.239	0.085485279	2189882.695	0.088270421	3778827.393	0.123218721	2246901.316	0.099935578	2338386.418	0.100794708	5897818.901	0.092098371	3076407.493
201-8	0.10375123	2781846.75	0.078954628	1760713.791	0.15024749	1515847.253	0.090002392	1561692.007	0.0943376	2191693.893	0.122688689	1765418.471	0.112470949	1237448.258	0.10174086	4644874.232	0.094445979	1736777.145
201-80	0.105715401	3002658.112	0.082671206	2720372.404	0.118683935	2426043.532	0.086814833	2338678.594	0.090645995	3037059.532	0.134762976	2057336.327	0.106981465	2089066.328	0.102626004	4720226.76	0.094886338	3119133.755
201-81	0.104672323	4034101.595	0.086356151	3260956.354	0.109654077	2664084.238	0.088010181	1834549.431	0.078570015	5422678.115	0.123767481	2117985.035	0.10170435	1787374.277	0.094690196	6889520.291	0.09442719	3464686.322
201-82	0.102200674	3798185.618	0.081757105	3218703.044	0.113073788	2642523.01	0.090866285	2253296.507	0.089197841	3705615.887	0.121238042	2021085.843	0.103574646	2356320.562	0.104530958	6097839.785	0.090429716	2668513.743
201-83	0.112995066	3596834.42	0.085218894	3111658.598	0.113479409	2704576.098	0.085733193	2381351.551	0.091714493	6970185.588	0.120464659	2177703.625	0.101500773	2301118.5	0.089205648	5643602.321	0.090883186	2905772.024
201-84	0.109705717	2614358.268	0.08415011	2587236.365	0.126018509	2044177.518	0.085817281	1699714.696	0.097347967	2963406.427	0.138417488	1652747.98	0.107073226	1361696.769	0.108471079	4147330.247	0.092868159	2699364.849
201-85	0.103871715	4413246.792	0.079743152	2054282.318	0.106500428	2829923.813	0.084982016	2057278.762	0.079098222	4307186.934	0.11778283	2472536.341	0.100322934	2486289.445	0.095393509	6233515.061	0.091012191	2839256.674
201-86	0.107592449	3253401.566	0.085922218	2550854.517	0.114127749	2144071.419	0.088081403	2166587.433	0.092980204	3029436.787	0.127274307	1856442.728	0.105402165	1933870.026	0.105057735	4806368.197	0.092971835	2570615.43
201-9	0.096121777	3959981.823	0.069441524	1916550.302	0.12582933	2613350.142	0.079557597	1731678.227	0.088475528	5062901.041	0.106503106	2672988.837	0.098624929	2252887.784	0.098769743	7160151.656	0.087939618	2510877.64
203-1	0.110094837	2484110.235	0.083492594	1555626.893	0.135290699	1840922.289	0.066692974	1250732.212	0.08396781	2873786.621	0.109520766	1431884.667	0.109706194	1623535.408	0.102461193	4541965.698	0.095736107	2149910.598
203-10	0.12571306	1897988.901	0.083217564	1062953.018	0.146498722	1058052.46	0.061819981	596132.3951	0.088462481	2290081.628	0.118281653	1081181.192	0.124376864	1599643.081	0.101314975	3474205.875	0.095142926	1406533.025
203-11	0.121800885	1522892.276	0.084093938	1107743.631	0.155652008	1112315.798	0.072098406	1323124.029	0.084935776	2086521.585	0.123619069	1087229.48	0.129905204	986642.7565	0.105911859	2784451.02	0.09803419	1739676.842
203-120	0.143419531	1228802.588	0.08352741	881427.1941	-1	-1	0.068394338	746498.7532	0.108255781	3719907.98	0.131669014	762433.6343	0.13553682	1344337.229	0.105934094	3248088.362	0.093635802	1203822.524
203-121	0.113287181	2851034.297	0.089844482	1275685.932	-1	-1	0.056484037	772798.5484	0.085182986	2763651.113	0.11268429	1608038.951	0.116944493	2060368.141	0.100070255	4812383.822	0.097969799	1853080.566
203-122	0.114349194	2570887.23	0.086759161	1578222.364	0.11927572	1874103.336	0.082253657	1480494.775	0.0838871	2868429.296	0.112945183	1556406.274	0.116927273	2054447.584	0.099095651	5217273.424	0.098408517	2582098.512
203-123	0.123681555	1208028.524	0.081323144	914163.3532	0.132616025	1078228.923	0.049918517	780163.1507	0.092050394	2162423.484	0.12410809	1157027.77	0.131220586	1315368.438	0.104815312	3197557.851	0.093443646	1307853.497
203-124	0.119617127	2058061.471	0.088346836	1584940.936	0.129788005	1211114.046	0.072691517	1200642.928	0.111156664	5625246.947	0.120307055	1156772.924	0.126630117	1556589.208	0.102665175	3598427.87	0.104412175	2231243.949
203-126	0.109822124	2227682.372	0.083798673	1220832.981	-1	-1	0.072133825	1266740.55	0.091349602	3849187.895	0.121442666	1895275.42	0.113990941	1514733.444	0.097078848	4878780.372	0.098307941	1894107.238
203-127	0.112777557	2701297.768	0.078770835	1125010.568	0.120017612	1703905.724	0.063298668	1052174.948	0.109885179	7323196.673	0.117432273	1834962.019	0.118422882	1964082.854	0.097891329	4587400.972	0.090977873	1630516.72
203-128	0.122508084	1923159.814	0.086182844	1017052.368	0.132192772	1137358.963	0.052038274	596595.2282	0.088453933	1924386.671	0.12023508	1120884.102	0.130493341	1451080.707	0.104931081	3444862.657	0.099746694	1571359.247
203-129	0.112553271	2011595.096	0.095808061	1610568.584	-1	-1	0.068481571	1036068.016	0.090035875	2190381.968	0.128019325	1210359.12	0.130860374	1396191.653	0.105209905	3507558.658	0.102294538	1964135.404
203-13	0.132143417	1298871.871	0.074788118	877495.6717	0.155520324	829021.4544	0.06243908	840902.1851	0.086870426	1757766.099	0.12664535	896745.3208	0.132296014	808387.9345	0.112188661	2815783.417	0.093607673	1312625.09
203-130	0.121402337	2223827.957	0.089338587	1540486.905	0.125578754	1468641.543	0.072529628	1321113.56	0.085726348	2273338.119	0.112687353	1023728.195	0.124605826	1643391.929	0.104014904	3910493.785	0.103068249	2292979.656
203-131	0.120524966	1830074.586	0.084889774	932920.2451	0.129260902	974375.0702	0.061245334	894190.107	0.092779514	2184739.893	0.116526198	920781.5505	0.126851319	1408927.048	0.101303112	3803257.974	0.094946046	1364157.876
203-132	0.125893763	1956452.095	0.083000252	1084137.823	0.129615326	997447.3893	0.070763061	1145213.866	0.087823067	2169367.014	0.12106965	935097.238	0.133278201	1351817.768	0.109710981	3637010.017	0.099085052	1843346.216
203-133	0.119045028	1664219.468	0.091642459	1772232.328	0.141763694	1317493.649	0.077676404	1366135.733	0.119215205	4451894.343	0.134109028	1185568.995	0.130238027	964806.6698	0.109186774	3272914.443	0.094040416	1400968.074
203-14	0.106707443	3363584.762	0.086926378	2230630.941	0.135512003	2172355.885	0.064298419	1321948.008	0.08278003	3729666.648	0.115811344	1501505.627	0.115758513	1827107.325	0.10533448	5941568.838	0.091686784	1994239.752
203-15	0.110619102	2654119.045	0.084877073	1466403.033	-1	-1	0.059560235	1178112.864	0.08524521	3302229.163	0.118557142	1406187.609	0.117918481	1537341.983	0.104228401	5387316.638	0.100138242	2131442.882
203-16	0.120480601	1976810.767	0.084675874	1249809.71	0.143399685	1332852.37	0.058477369	626487.3975	0.085715583	2270589.305	0.11840449	974050.957	0.129405788	1504545.682	0.110378281	3613901.136	0.09865383	1826509.446
203-17	0.130876267	1702369.536	0.086047038	1108125.578	0.144591634	1327565.795	0.064055738	905090.9556	0.086707975	2205140.397	0.116874872	989238.4946	0.129954964	1477451.197	0.106011135	3305350.613	0.094164526	1548103.994
203-18	0.114836775	2442666.62	0.084421843	1177739.567	0.133501689	1940851.769	0.063283024	1111825.757	0.090255005	3015439.683	0.108894369	1207628.879	0.118260621	2079853.667	0.102839159	4488105.161	0.092483488	1536371.625
203-19	0.112190795	2854673.456	0.076457024	1031911.522	-1	-1	0.062883429	1166975.669	0.081639947	3027354.441	0.116268244	1290268.426	0.116589102	1751675.929	0.100396414	5218726.376	0.092726937	1908359.914
203-21	0.12090465	2148986.683	0.082898663	689042.7075	-1	-1	0.054702982	531519.0888	0.100932145	4368484.504	0.12698054	1117125.217	0.124721055	1077694.003	0.100539121	3574763.759	0.093323559	1307521.47
203-22	0.12578637	1799239.783	0.075178583	746664.0552	0.143768395	1254278.226	0.059337835	873400.1544	0.110381145	5032675.449	0.115686994	884329.0151	0.130208243	1519429.059	0.105334216	2981971.745	0.09310762	1660832.152
203-24	0.117512713	1252519.87	0.076416573	765582.5044	0.137461072	1396119.583	0.060970752	896367.6036	0.086104792	2394539.478	0.115587905	1092143.417	0.123350501	1589335.921	0.100568115	3025829.3	0.098334967	1883047.547
203-25	0.11052577	1634288.711	0.075674411	798341.1353	0.140652123	1570926.037	0.05491286	832496.3094	0.105277258	5817675.138	0.125152449	1425202.641	0.118800429	1079287.092	0.101331352	3230134.14	0.087698849	1237673.422
203-26	0.119412632	1736401.594	0.086713093	1530460.265	-1	-1	0.064170774	682352.9458	0.088069179	2176848.427	0.121630852	920080.2831	0.135490525	1393371.655	0.110768555	3616539.195	0.093369064	1513347.977
203-27	0.125225614	1770030.322	0.083599243	1180649.605	-1	-1	0.077412458	1165471.221	0.117216029	4532122.972	0.125173131	1048973.594	0.134398595	1432067.596	0.111594062	3255673.563	0.102488003	1805937.339
203-28	0.106145163	3588477.014	0.092340818	3116216.462	-1	-1	0.061327786	1184552.096	0.090529202	6894128.621	0.118069072	1387511.809	0.116285502	2202379.509	0.095676917	5605161.103	0.140844006	1370499.011
203-29	0.111157768	3034588	0.089386096	1959551.007	-1	-1	0.055680643	901521.8216	0.083082711	2704229.563	0.114923448	1263932.557	0.118870179	2264361.103	0.101606336	4649104.473	0.135801601	1384896.341
203-3	0.117428357	1893080.45	0.088331179	1101150.213	0.150596978	993258.4628	0.068653099	1077824.16	0.083831789	2047826.687	0.117854946	945076.4758	0.127152221	1466798.368	0.10788422	3064786.121	0.099630511	1815010.863
203-30	0.118810679	1490624.299	0.0886477	1181421.061	0.149079455	1229028.984	0.059242433	585082.0394	0.089273019	1783008.93	0.117605319	829125.3763	0.128526994	1074780.999	0.110741551	2956182.941	0.12725857	789179.4227
203-32	0.127107505	1477968.338	0.088938511	1242665.568	0.146283887	1241013.281	0.058612905	771000.705	0.103337036	3731925.492	0.125586387	1095383.237	0.129292366	993135.6818	0.103919765	3115242.593	0.13985611	1060626.148
203-33	0.114316515	1747101.737	0.087859858	1296352.938	0.132869456	1849962.569	0.060510765	1262015.522	0.090804299	2570557.431	0.115360223	1489604.033	0.11887257	2029807.429	0.10784688	3819531.788	0.130836488	944024.9884
203-34	0.107005447	2937197.667	0.089083196	1674307.731	-1	-1	0.058592111	965500.0112	0.089183859	2803980.705	0.109445066	1471340.616	0.118098668	2153436.93	0.101971909	4690969.375	0.140839549	1607173.013
203-35	0.114943979	1611322.748	0.093995039	1528763.768	0.151746651	1174835.91	0.079091959	1070481.199	0.086461947	1920159.902	0.126654363	943158.4669	0.131237107	1143375.454	0.107057505	3070613.915	0.138887979	1083988.5
203-36	0.126449359	1558653.673	0.086170086	1212405.355	0.142979855	1129656.479	0.068182252	1219181.831	0.087310885	1887558.452	0.119780857	1001081.595	0.132155811	1556781.07	0.109397985	3071468.767	0.13329306	1069979.932
203-37	0.121763493	1736176.584	0.087314318	1341361.18	0.137118344	1443415.185	0.05432531	1048667.721	0.089679811	2065183.472	0.109229418	1008746.639	0.125682266	1720415.66	0.108730068	3172692.355	0.139393547	1440417.515
