	hydroxyurea_r	hydroxyurea_k	NaCl_r	NaCl_k	allantoin_r	allantoin_k	caffeine_r	caffeine_k	galactose_r	galactose_k	glycine_r	glycine_k	isoleucine_r	isoleucine_k	phleomycin_r	phleomycin_k	rapamycin_r	rapamycin_k
289-63	0.132256485	827816.1726	0.108512453	1544586.178	0.143017019	835739.9501	0.056860794	545021.4678	0.100314198	1753518.112	0.134499598	783372.5673	0.144308564	937876.8494	0.116428881	2750997.22	0.110330576	696167.1739
289-64	0.143068615	670434.883	0.093573246	1127702.236	0.135642789	957936.8612	0.061213216	438280.308	0.102587326	1605139.464	0.133479452	949149.0163	0.139315922	1086892.927	0.110675623	2325152.732	0.109178641	946941.7629
289-65	0.156896627	729574.1603	0.093820845	1128083.978	0.157442814	716361.1461	0.069306634	499968.0688	0.100527031	1593511.938	0.151469576	706649.0418	0.148036826	1277458.484	0.125558583	2802844.661	0.11194677	1198181.066
289-66	0.151328869	1175620.841	0.094736133	1367719.292	0.153738967	1135582.155	0.05770567	809521.9946	0.095022569	1703981.994	0.141789812	857300.8523	0.146231338	1633816.312	0.124039834	2819686.123	0.110784642	1066249.778
289-67	0.158642391	1013057.012	0.097464194	1456890.975	0.15703053	872461.3423	0.061310759	445765.5792	0.10781055	1288008.515	0.148393921	668897.4807	0.149450951	1392751.744	0.119773528	2806077.604	0.112866343	1040493.792
289-68	0.138929357	1014355.411	0.09103196	965541.8268	0.149408674	566549.7549	0.074755771	490664.4635	0.102178441	1492832.796	0.151214249	975479.4891	0.144733772	1348265.137	0.11483107	2762382.02	0.104903564	832923.0888
289-69	0.15285027	990568.8693	0.094529413	1117799.861	0.164052891	844130.1153	0.080778196	522864.2857	0.106401838	1516910.474	0.156950464	779199.3116	0.148880867	975931.0055	0.119615408	2518360.498	0.106098558	859634.9727
289-7	0.16802338	1397242.436	0.111512156	1944207.814	0.165332348	1077502.43	0.045358274	1833412.891	0.090017856	1712329.655	0.121775344	856812.4886	0.140855121	1413181.906	0.133141712	2837250.752	0.092140482	1097869.601
289-70	0.143660276	1185380.032	0.102454744	1481727.543	0.151974042	774446.2791	0.062195741	303611.8106	0.100762857	1453057.593	0.156149011	766897.5284	0.139805378	917247.7072	0.122580551	3207093.205	0.116940134	1031944.739
289-71	0.158003804	1739393.837	0.092642808	1579039.995	0.152874683	1415388.648	0.061936362	858737.7844	0.130587316	5075832.033	0.150134557	1079464.721	0.140271134	1189915.556	0.126931344	3411132.448	0.114486489	1624582.251
289-72	0.15601432	1824601.052	0.087504919	1370074.792	0.145058243	1348554.29	0.063683177	910496.6805	0.09629083	2113301.035	0.144650892	1333849.066	0.133298977	1634348.655	0.123172202	3104252.9	0.100175823	1157854.253
289-73	0.14335884	945985.3415	0.092921445	1215016.962	0.161053331	1051136.472	0.063656658	588215.8781	0.133013586	3870868.973	0.159596779	680298.8941	0.143896821	864794.1043	0.123424856	2710101.142	0.107912803	599359.533
289-74	0.149557077	1526150.216	0.090156711	1562457.616	0.148419754	1569687.068	0.057673214	767877.3267	0.131418406	5205073.612	0.142804301	1451918.08	0.138871797	1715513.295	0.12843904	3193780.675	0.103997641	1611744.541
289-75	0.133832258	1472951.622	0.08961121	1197619.677	0.146030523	574352.2123	0.065987032	467750.4833	0.103772462	1294870.942	0.162059575	1023634.848	0.147764599	1377692.784	0.111703658	3326784.406	0.119802074	1238441.558
289-77	0.169623128	1535748.791	0.103067657	1388753.214	0.164218801	1213503.621	0.053826003	792194.9421	0.128381584	3644111.164	0.136797812	962316.0314	0.141785895	1009052.641	0.12909059	2881569.21	0.104340408	1419983.203
289-78	0.165601366	1119285.402	0.105229656	1158611.973	0.151534155	850958.1684	0.057445649	954628.9921	0.092471898	1543921.643	0.125477472	678211.4891	0.14562805	1215884.751	0.12675156	2499623.082	0.105742778	1263762.73
289-8	0.137741071	1052569.685	0.096137374	1346313.793	0.143135019	898603.215	0.080352967	584194.4729	0.100665624	1233472.488	0.142269907	1273330.269	0.136688041	1033144.366	0.116211142	3153262.774	0.092012043	731152.6643
289-80	0.155304723	1374853.869	0.10182014	1434992.524	0.151656298	1666282.891	0.072980417	1063571.522	0.090616043	1924251.038	0.133830479	1729305.323	0.138153627	1887092.566	0.125968388	3100860.165	0.11181774	1855807.731
289-81	0.16302843	1090665.166	0.108067253	1215265.852	0.163325998	777428.8055	0.080936832	504517.7427	0.098539035	1638320.799	0.149163152	539218.2468	0.147778512	771417.5542	0.129700522	2573562.175	0.112487119	1188709.041
289-82	0.164004166	1310033.383	0.114579002	1903068.605	0.152355407	1091982.205	0.068420527	872659.7303	0.091601614	1603095.209	0.12003812	826398.775	0.140368142	1356110.303	0.124357794	2716308.886	0.10837884	1252340.714
289-83	0.158959901	1922527.087	0.107497418	1816852.753	0.155075457	1684692.781	0.062559886	1073404.145	0.130655352	4143986.854	0.128878222	1530915.558	0.138475344	1916043.068	0.128278974	3400149.317	0.101601377	1569991.499
289-84	0.149964032	1468674.269	0.103239959	1811063.04	0.151943255	1436804.531	0.063058737	990697.2794	0.100202065	2115533.049	0.13901665	1296913.046	0.131497642	1061383.843	0.123546373	3067824.764	0.105020691	1492359.194
289-85	0.150725769	1071462.773	0.096053626	1005648.001	0.157163673	783728.9253	0.075158575	666075.892	-1	-1	0.142077532	785974.5368	0.151154143	1281758.437	0.128572067	2537193.533	0.105496885	1012516.071
289-86	0.159785563	1421908.794	0.106183771	1512297.38	0.149206183	965445.233	0.063222701	730582.0799	0.091828583	1595861.951	0.121381563	762899.5485	0.142695508	1303072.356	0.125585702	2733161.129	0.103692088	1314843.709
289-9	0.148972142	1065413.368	0.086002364	1172786.779	0.155310023	1258253.916	0.048921429	593122.5524	0.093485553	1529114.909	0.137870387	938531.141	0.14159847	1045201.275	0.133255364	2918226.516	0.096534456	1119402.241
290-1	0.143832154	1369596.479	0.099849211	1650847.094	0.142951911	997832.6526	0.047256879	386409.1862	0.127619621	4415749.746	0.109494172	783325.7641	0.119581271	1077632.836	0.114809058	2572960.619	0.098111614	1939675.256
290-10	0.138992145	1767991.339	0.085164678	1453916.999	0.140587958	1464768.318	0.040772287	327902.2216	0.117661253	5115850.358	0.117776801	1340557.519	0.113290599	1543113.806	0.107823928	3917020.097	0.096184389	1817006.808
290-11	0.139812049	1949263.63	0.088407056	1389617.557	0.150659912	1374539.692	0.05399864	781287.0109	0.123287735	4828149.718	0.125371719	1238841.513	0.11923716	1310294.475	0.116325096	3547015.158	0.09976867	2217154.657
290-120	0.137222246	995189.8385	0.082768279	840025.3907	0.123961478	1188243.594	0.06225185	426016.9608	0.117095295	4354888.803	0.124445585	776783.3463	0.117233525	1186340.396	0.114471147	3785591.799	0.118951295	970295.2654
290-121	0.140185149	1578123.591	0.08620221	1293383.382	0.142638418	1198038.693	0.04542636	669142.0405	0.119895228	4095095.574	0.124221581	1027428.944	0.136000268	1036692.869	0.111159594	3369745.749	0.103518588	1959381.505
290-122	0.131417506	1610468.073	0.088936097	2276056.526	0.128434613	1811353.034	0.068919696	1343133.022	0.114814185	5405623.936	0.116356237	1385581.847	0.11432812	1460775.1	0.107500208	4073886.155	0.101810594	2960418.328
290-123	0.138602295	1166553.645	0.074036816	917575.9344	0.14104512	1367113.593	-1	-1	0.124954812	4917455.403	0.121744403	966685.7804	0.13672903	1079273.215	0.114018554	3292862.377	0.100161712	1500506.331
290-124	0.124737218	2099784.687	0.086763535	1790199.166	0.124771001	1537540.865	0.061622612	1013998.515	0.114423537	5355988.175	0.120202521	1350976.908	0.114972447	1541641.479	0.105267795	4411050.796	0.104589476	2501802.578
290-126	0.130551441	1343428.83	0.097614867	2104802.942	0.13638029	1017808.477	0.056776917	553842.9072	0.120839231	5081453.106	0.132069404	1002811.673	0.121500733	904045.3943	0.108408259	4055590.423	0.099310006	1332180.434
290-127	0.118769267	2528797.257	0.073557423	1282499.595	0.116679154	2177796.294	0.045826008	1083406.092	0.111936992	7287895.76	0.114648797	1867288.648	0.107150665	1806277.723	0.104559696	5658257.103	0.091903885	2205601.606
